player_name,team_tag,season_uvi,ppp,total_pitches,games
Patrick Corbin,TEX,97.9,-0.0180545694980695,2590,31
Jose Corniell,TEX,-398.5,-0.11910082926829266,41,1
Nestor Cortes,MIL,-53.9,-0.049156373333333336,150,2
Nestor Cortes,SD,81.5,-0.02001256792873051,449,6
Tom Cosgrove,CHC,242.0,0.011772656250000001,64,2
Danny Coulombe,MIN,210.0,0.006471029473684211,475,40
Danny Coulombe,TEX,-77.2,-0.0536903469387755,245,15
Austin Cox,ATL,87.8,-0.01957592505854801,427,13
Nabil Crismatt,AZ,58.3,-0.025637181647940075,534,8
Cooper Criswell,BOS,108.7,-0.016469728260869565,276,7
Garrett Crochet,BOS,162.1,-0.005901706759758808,3151,32
Fernando Cruz,NYY,173.9,-0.0022317831021437594,793,49
Omar Cruz,SD,189.1,0.00373320987654321,81,2
Steven Cruz,KC,137.2,-0.008345942724458207,646,47
Xzavion Curry,MIA,23.7,-0.032572052631578946,57,3
John Curtiss,AZ,150.1,-0.006209932234432233,546,30
Luis Curvelo,TEX,100.0,-0.01762181762917933,329,17
Caden Dana,LAA,-11.4,-0.040462047957371225,563,7
Davis Daniel,ATL,99.8,-0.017051540983606558,183,3
Dugan Darnell,COL,187.3,-0.0034975294117647053,187,9
Michael Darrell-Hicks,LAA,128.7,-0.009883805970149253,134,6
Michael Darrell-Hicks,PIT,340.2,0.03864583333333334,24,1
Yu Darvish,SD,22.5,-0.03301182155172414,1160,15
Logan Davidson,LAA,350.4,0.03850357142857143,14,1
Noah Davis,LAD,-90.3,-0.05708719402985075,134,5
Noah Davis,MIN,-177.4,-0.07554335042735041,117,4
José De León,BOS,56.5,-0.026795594059405944,101,1
Enyel De Los Santos,ATL,123.8,-0.012023670157068064,764,43
Enyel De Los Santos,HOU,105.5,-0.015873646892655364,354,22
Yerry De los Santos,NYY,150.4,-0.007054486486486487,592,25
Anthony DeSclafani,AZ,104.0,-0.015952233908948194,637,13
Reid Detmers,LAA,86.3,-0.019132362727272728,1100,61
