player_name,team_tag,batting_uvi,speed_bonus,hustle_bonus,defense_bonus,burst_bonus,complete_uvi,sprint_speed,bolts,oaa,frp,ppp,total_pitches,games,batted_balls
Adrian Del Castillo,AZ,116.0,-2.8,-0.0,0.0,0.1,113.3,25.9,0.0,0.0,0.0,0.017523992523364486,535,43,75
Michael Helman,TEX,175.4,4.2,-0.0,3.0,-0.5,182.1,29.4,10.0,2.0,2.0,0.03445608148148148,405,36,80
Steven Kwan,CLE,89.0,-0.0,0.0,7.5,-0.4,96.1,27.3,2.0,5.0,5.0,0.01041524302075877,2794,156,573
Cj Alexander,ATH,-6.3,0.0,-0.0,0.0,0.0,-6.3,,0.0,1.0,0.0,-0.01364455223880597,67,6,9
Jarren Duran,BOS,115.4,3.6,0.0,-4.5,-0.5,114.0,29.1,13.0,-4.0,-3.0,0.019431463321930825,2631,157,448
Ryan Jeffers,MIN,92.3,-2.8,-0.0,0.0,0.3,89.8,25.9,0.0,0.0,0.0,0.011478408801696711,1886,115,315
Henry Davis,PIT,40.4,2.0,0.0,0.0,0.0,42.4,28.3,0.0,0.0,0.0,-0.0023777140186915886,1070,81,180
Ryan Fitzgerald,MIN,110.6,2.2,-0.0,0.0,0.0,112.8,28.4,0.0,0.0,0.0,0.016135376288659794,194,18,38
Willie Maciver,ATH,65.1,0.4,0.0,0.0,0.3,65.8,27.5,0.0,0.0,0.0,0.004202795454545456,396,30,75
Zack Gelof,ATH,37.4,1.4,-0.0,3.0,-0.2,41.6,28.0,1.0,2.0,2.0,-0.0027085961538461534,416,27,45
Owen Miller,COL,9.5,5.2,-0.0,1.5,0.0,16.2,29.9,2.0,1.0,1.0,-0.00927169117647059,68,8,10
Brendan Donovan,STL,110.6,-1.4,0.0,-1.5,0.0,107.7,26.6,0.0,-1.0,-1.0,0.016128954474909467,1933,118,398
Bryson Stott,PHI,91.9,3.0,0.0,9.0,-0.4,103.5,28.8,17.0,8.0,6.0,0.012553899595141702,2470,145,412
Jonah Bride,MIA,1.9,-1.0,-0.7,3.0,0.4,3.6,26.8,0.0,3.0,2.0,-0.011606953488372092,215,12,24
Jonah Bride,MIN,11.7,-1.0,0.4,3.0,0.4,14.5,26.8,0.0,3.0,2.0,-0.009084882183908047,348,30,47
Colton Cowser,BAL,137.4,0.2,-0.0,0.0,-0.4,137.2,27.4,0.0,0.0,0.0,0.021220988590604027,1490,91,199
Logan O'Hoppe,LAA,80.8,-0.0,-0.0,0.0,0.2,81.0,27.3,0.0,0.0,0.0,0.007919928327645051,1758,119,284
Connor Norby,MIA,109.7,3.0,0.0,-4.5,-0.1,108.1,28.8,3.0,-4.0,-3.0,0.013956387951807231,1245,87,219
Brooks Baldwin,CWS,96.1,2.6,-0.0,-13.5,-0.1,85.1,28.6,5.0,-11.0,-9.0,0.011707941693290733,1252,102,218
Kerry Carpenter,DET,204.6,-0.4,0.0,-3.0,-0.1,201.1,27.1,0.0,-3.0,-2.0,0.03957882037996546,1737,130,327
Mickey Gasper,MIN,51.4,-1.0,-0.0,0.0,-0.1,50.3,26.8,0.0,-1.0,0.0,0.0010412416851441253,451,39,74
James Outman,LAD,-5.3,2.4,-0.2,0.0,-0.6,-3.7,28.5,0.0,0.0,0.0,-0.013420210526315788,171,14,21
James Outman,MIN,24.2,2.4,0.1,0.0,-0.6,26.1,28.5,0.0,0.0,0.0,-0.005898246543778801,434,33,48
David Villar,SF,8.6,-2.2,0.0,-1.5,0.0,4.9,26.2,0.0,-1.0,-1.0,-0.009985726315789475,95,9,15
Andy Pages,LAD,133.5,1.6,-0.0,15.0,0.0,150.1,28.1,0.0,11.0,10.0,0.02197654627636677,2323,153,446
Heriberto Hernandez,MIA,180.5,2.8,0.0,6.0,-0.0,189.3,28.7,1.0,5.0,4.0,0.030730534270650263,1138,86,181
David Fry,CLE,140.8,-1.4,-0.0,0.0,0.4,139.8,26.6,0.0,0.0,0.0,0.02347394568690096,626,66,88
Justin Dean,LAD,-86.9,0.0,0.0,1.5,0.0,-85.4,,0.0,1.0,1.0,-0.03421818181818182,11,2,1
Vinny Capra,CWS,-35.9,2.0,0.1,0.0,-0.1,-33.9,28.3,0.0,0.0,0.0,-0.020944013513513514,148,18,35
Vinny Capra,MIL,-57.0,2.0,-0.1,0.0,-0.1,-55.2,28.3,0.0,0.0,0.0,-0.026897689814814815,216,23,39
Nate Eaton,BOS,56.9,4.8,0.0,-3.0,-0.5,58.2,29.7,20.0,-2.0,-2.0,0.003455511834319528,338,32,63
Daniel Schneemann,CLE,81.1,1.2,0.0,9.0,-0.4,90.9,27.9,0.0,8.0,6.0,0.008409198203592816,1670,126,261
Drew Avans,ATH,-82.5,3.6,-0.5,-1.5,0.0,-80.9,29.1,3.0,-1.0,-1.0,-0.03266619047619048,63,6,10
Drew Avans,MIL,-71.6,3.6,5.3,-1.5,0.0,-64.2,29.1,3.0,-1.0,-1.0,-0.030689499999999998,16,1,2
Logan Porter,SF,39.4,0.0,0.0,0.0,0.0,39.4,,0.0,0.0,0.0,-0.0025091470588235257,34,4,5
Noelvi Marte,CIN,149.1,3.4,0.0,-6.0,0.0,146.5,29.0,8.0,-4.0,-4.0,0.02823100157853197,1267,88,251
Francisco Álvarez,NYM,148.7,-2.6,-0.0,0.0,0.3,146.4,26.0,0.0,0.0,0.0,0.02510074822064057,1124,74,171
Kevin Alcántara,CHC,57.0,-3.6,-0.0,0.0,0.0,53.4,25.5,0.0,0.0,0.0,0.0029181304347826093,46,6,7
Luis Matos,SF,180.3,0.2,0.0,-7.5,0.1,173.1,27.4,0.0,-6.0,-5.0,0.03161706104651163,688,55,145
Warming Bernabel,COL,92.8,2.2,-0.0,-1.5,-0.0,93.5,28.4,0.0,-2.0,-1.0,0.015152578544061305,522,39,112
Angel Martínez,CLE,82.7,0.8,0.0,-6.0,0.1,77.6,27.7,0.0,-4.0,-4.0,0.008810960555555556,1800,135,343
Agustín Ramírez,MIA,105.5,-1.2,0.0,0.0,0.1,104.4,26.7,0.0,0.0,0.0,0.012964980300187617,2132,136,425
Luisangel Acuña,NYM,24.6,4.6,0.0,0.0,-0.5,28.7,29.6,24.0,0.0,0.0,-0.0059265552325581386,688,67,141
Jonatan Clase,TOR,68.1,4.2,-0.0,-3.0,-0.6,68.7,29.4,6.0,-2.0,-2.0,0.005313872437357629,439,33,73
Elly De La Cruz,CIN,118.0,3.6,-0.0,-3.0,-0.5,118.1,29.1,42.0,-3.0,-2.0,0.019829817512877115,2718,162,447
Endy Rodríguez,PIT,20.4,-0.4,0.0,-1.5,0.0,18.5,27.1,0.0,-1.0,-1.0,-0.007170661835748794,207,16,38
Bryan Ramos,CWS,11.6,1.0,-0.0,0.0,0.0,12.6,27.8,0.0,0.0,0.0,-0.009190769230769228,39,3,8
Ronny Simon,MIA,44.0,3.0,-0.1,-7.5,-0.4,39.0,28.8,1.0,-6.0,-5.0,-0.001628968036529679,219,19,41
Ronny Simon,PIT,104.3,3.0,0.2,-7.5,-0.4,99.6,28.8,1.0,-6.0,-5.0,0.012940365079365076,126,7,23
Cj Abrams,WSH,111.3,1.8,0.0,-12.0,-0.4,100.7,28.2,1.0,-11.0,-8.0,0.016022493115318417,2324,144,456
Riley Greene,DET,156.6,-1.2,-0.0,1.5,-0.1,156.8,26.7,0.0,1.0,1.0,0.027475688929889303,2710,157,402
Tyler Locklear,AZ,39.6,-0.6,-0.0,-3.0,0.2,36.2,27.0,0.0,-3.0,-2.0,-0.0019759517819706468,477,31,60
Tyler Callihan,CIN,-37.0,0.0,-0.0,0.0,0.0,-37.0,,0.0,0.0,0.0,-0.022057272727272727,22,4,5
Corbin Carroll,AZ,154.8,5.0,-0.0,13.5,-0.8,172.5,29.8,63.0,10.0,9.0,0.02741392521877486,2514,141,413
Gunnar Henderson,BAL,132.1,2.4,-0.0,-3.0,-0.4,131.1,28.5,13.0,-3.0,-2.0,0.01994875435126582,2528,154,441
Jack Leiter,TEX,-165.5,0.0,0.0,0.0,0.0,-165.5,,0.0,0.0,0.0,-0.05595,3,1,0
Anthony Volpe,NYY,91.6,2.0,-0.0,-7.5,-0.2,85.9,28.3,1.0,-6.0,-5.0,0.011993331526271894,2398,149,397
Michael Stefanic,TOR,-0.6,-4.4,0.0,1.5,0.0,-3.5,25.1,0.0,1.0,1.0,-0.012212877551020409,98,8,19
Nasim Nuñez,WSH,109.1,5.0,-0.0,4.5,-0.9,117.7,29.8,10.0,4.0,3.0,0.015480466507177033,418,32,64
Matthew Lugo,LAA,138.2,4.2,0.0,-7.5,-0.3,134.6,29.4,4.0,-5.0,-5.0,0.022123289256198345,242,25,45
